scope	reference_mic	metric	comparability	rows	non_null	missing	mean	std	q00	q01	q05	q10	q25	q50	q75	q90	q95	q99	q100
MIC	XAMS	median_shares_20d	within_mic_diagnostic_only	117	117	0	487096.9871794872	1254389.7196122343	0.0	0.0	0.0	0.0	1429.0	55132.5	365020.5	1174934.8000000012	2443575.399999997	5500363.540000003	9104340.5
MIC	XAMS	median_trades_20d	within_mic_diagnostic_only	117	117	0	1575.0384615384614	4008.8396674239057	0.0	0.0	0.0	0.0	7.0	313.0	1385.5	3883.6000000000035	6897.399999999995	11480.820000000003	37165.0
MIC	XAMS	median_turnover_20d	within_mic_diagnostic_only	117	117	0	19627281.73931624	69236448.67196046	0.0	0.0	0.0	0.0	8701.0	673293.5	9732315.5	52728585.20000002	87595918.79999998	170885574.8400001	686274207.5
MIC	XAMS	median_vwap_20d	within_mic_diagnostic_only	117	117	0	54.29959786324787	183.63303624499974	0.0	0.0	0.0	0.0	2.00305	13.991	39.0914	74.67728000000002	93.40826999999994	1011.1424380000008	1494.4387
MIC	XBRU	available_sessions	cross_market	103	103	0	504.0873786407767	35.719524730638234	208.0	308.1	509.0	509.0	509.0	509.0	509.0	509.0	509.0	509.0	509.0
MIC	XBRU	momentum_1m	cross_market	103	103	0	-0.01793653798638239	0.06407357687533197	-0.2164179104477611	-0.18612188022542894	-0.11279760351540064	-0.09513947346205333	-0.047410118008329144	-0.0178253119429591	0.00648913569340145	0.03526435542781854	0.10300069864927781	0.16139719382896303	0.1884415228704463
MIC	XBRU	momentum_3m	cross_market	103	103	0	-0.045035191823944075	0.16085215230580932	-0.999586776859504	-0.4137122844827586	-0.25229400074665415	-0.16530507131537248	-0.1026848731022959	-0.0424999999999999	0.01797841537246645	0.1355150295691427	0.18609039052215856	0.29168052132503447	0.3640226628895184
MIC	XBRU	momentum_6m	cross_market	103	103	0	-0.01672301318523314	0.270328376883383	-0.9996396396396396	-0.5509674329501916	-0.40319875776397507	-0.2949131974541222	-0.16201781637041335	-0.0451467268623024	0.11462514417531715	0.2713063392601546	0.40831514230450383	0.7789492072069323	0.9107142857142858
MIC	XBRU	volatility_60d_annualized	cross_market	103	103	0	0.3083650952973937	0.24703653443605464	0.0	0.0017171515643219456	0.10163263649694694	0.13109351883875192	0.17308145936832225	0.2592097448353266	0.3851013304015666	0.5010725289192911	0.6416126096974056	1.0506144188753155	2.053369476050008
MIC	XBRU	current_drawdown_252d	cross_market	103	102	1	-0.22302286042680067	0.2069686453851601	-0.9996396396396396	-0.8857731000943602	-0.6636225506879952	-0.5051567910734898	-0.286809074350058	-0.1545917278795452	-0.08176970256187582	-0.027209491960991025	-0.020272435897435916	-0.0075336991126464855	-0.0047619047619048
MIC	XBRU	max_drawdown_252d	cross_market	103	102	1	-0.28325926142573155	0.19218216818679004	-0.9996396396396396	-0.9033811424838498	-0.67726381232565	-0.5791119111911192	-0.32531887480108823	-0.22559286827072875	-0.1461517286941202	-0.11834566485039674	-0.10812148139885791	-0.07566133093960212	-0.0386597938144329
MIC	XBRU	median_shares_20d	within_mic_diagnostic_only	103	103	0	61399.57281553398	169274.75413356093	0.0	0.0	0.0	41.700000000000045	712.75	8191.0	56460.75	147850.89999999997	245794.7999999999	394539.9300000003	1568361.5
MIC	XBRU	median_trades_20d	within_mic_diagnostic_only	103	103	0	373.1650485436893	832.680953625772	0.0	0.0	0.0	3.1000000000000005	10.75	102.0	422.25	860.9999999999999	1211.6999999999996	4863.93000000001	6148.5
MIC	XBRU	median_turnover_20d	within_mic_diagnostic_only	103	103	0	3749885.4077669904	13389863.405064825	0.0	0.0	0.0	1663.2	10559.0	147149.0	1532210.25	7122010.599999999	9458323.049999995	62379783.57000007	106899481.5
MIC	XBRU	median_vwap_20d	within_mic_diagnostic_only	103	103	0	185.54124320388354	1225.4375442803525	0.0	0.0	0.0	0.30018000000000017	3.8575999999999997	22.2096	67.032025	183.9885	294.01649499999974	873.9322390000004	12432.59095
MIC	XLIS	available_sessions	cross_market	33	33	0	501.5151515151515	42.997181021057365	262.0	341.04	509.0	509.0	509.0	509.0	509.0	509.0	509.0	509.0	509.0
MIC	XLIS	momentum_1m	cross_market	33	33	0	-0.005685783795401731	0.05334422530546033	-0.1715976331360946	-0.16227421902493713	-0.11614593351836075	-0.05216262111677144	-0.0112359550561798	0.0	0.0127118644067798	0.052907058437807394	0.0674724882251834	0.08640486858904861	0.0901402640264026
MIC	XLIS	momentum_3m	cross_market	33	33	0	-0.002711664293191853	0.09023386847538253	-0.2245153220762976	-0.2094928489184244	-0.12702803738317747	-0.09237764550264538	-0.06	0.0093457943925234	0.027327935222672	0.09682964539242907	0.15650575902406644	0.20937719259357773	0.2315068493150684
MIC	XLIS	momentum_6m	cross_market	33	33	0	-0.0036944616738894573	0.12002501269932599	-0.2177777777777777	-0.2098073532398943	-0.16805717134784773	-0.11844613874285494	-0.06640625	-0.0039505563694723	0.030456852791878	0.08636013182326278	0.11887301191367045	0.37050376632710186	0.4852978135209851
MIC	XLIS	volatility_60d_annualized	cross_market	33	33	0	0.2587392643774292	0.17543960607267453	0.0	0.014103330086482015	0.06595911931472344	0.12381115540035421	0.1809994623272984	0.2195818361033001	0.2656689652537868	0.46402880694320264	0.5879998158223569	0.8397268608766659	0.9004271917308211
MIC	XLIS	current_drawdown_252d	cross_market	33	33	0	-0.14057933025243582	0.11328274722321775	-0.3894601542416452	-0.3811965412479551	-0.35788697788697793	-0.3332440191387559	-0.213713268032057	-0.11875	-0.0447154471544715	-0.029164517792676575	-0.0040336134453781295	0.0	0.0
MIC	XLIS	max_drawdown_252d	cross_market	33	33	0	-0.20712004263527103	0.10877722675431523	-0.4852185089974292	-0.45096676793643364	-0.3766781326781327	-0.3712918660287081	-0.2589473684210526	-0.1868852459016393	-0.1354838709677419	-0.07504611665924552	-0.05966386554621855	-0.017142857142857168	0.0
MIC	XLIS	median_shares_20d	within_mic_diagnostic_only	33	33	0	1934437.4090909092	7440973.417716305	0.0	0.0	0.0	0.0	313.5	21955.0	761026.5	1523851.0	5634597.699999997	31133513.239999987	42608319.0
MIC	XLIS	median_trades_20d	within_mic_diagnostic_only	33	33	0	437.3181818181818	735.0374545960844	0.0	0.0	0.0	0.0	4.0	54.5	398.0	1459.3000000000004	2273.2	2606.74	2708.5
MIC	XLIS	median_turnover_20d	within_mic_diagnostic_only	33	33	0	5083927.681818182	11414637.204500677	0.0	0.0	0.0	0.0	3055.0	68240.0	2297480.0	21155262.20000001	30453910.9	43258772.279999994	48754199.0
MIC	XLIS	median_vwap_20d	within_mic_diagnostic_only	33	33	0	5.214231818181819	5.9905971750242974	0.0	0.0	0.0	0.0	0.975	3.2517500000000004	6.849349999999999	13.39363	19.102539999999998	21.16757	21.37605
MIC	XMSM	available_sessions	cross_market	16	16	0	477.9375	124.25	12.0	86.55	384.75	509.0	509.0	509.0	509.0	509.0	509.0	509.0	509.0
MIC	XMSM	momentum_1m	cross_market	16	15	1	-0.01951109322958077	0.06127009452722604	-0.1499999999999999	-0.1413360655737704	-0.10668032786885231	-0.08351401374933883	-0.0607712948947295	-0.0071428571428571	0.0106015485407979	0.05712013754566953	0.06723686477174855	0.07521481481481475	0.0772093023255813
MIC	XMSM	momentum_3m	cross_market	16	15	1	0.047215096323229275	0.1181768888292383	-0.1774193548387096	-0.1702798991856326	-0.14172207657332464	-0.10044410975303628	-0.02980023852116875	0.0784883720930234	0.11870075323683565	0.16646065397053533	0.20312655774023802	0.24954250900027677	0.2611464968152865
MIC	XMSM	momentum_6m	cross_market	16	15	1	0.15259375949111537	0.15578417374675327	-0.1639344262295081	-0.1567810547232462	-0.1281675686981985	-0.08828212741734484	0.08973462435000895	0.1991150442477878	0.2658609281245585	0.3038761857185061	0.3160151498957582	0.32710344491691107	0.3298755186721993
MIC	XMSM	volatility_60d_annualized	cross_market	16	15	1	0.3097832892520606	0.16099696780832587	0.0937073458930878	0.09959585188400029	0.12314987584765028	0.14247844840303345	0.2198673078847749	0.2491112720700151	0.42642904336971543	0.5343266352614378	0.568585427004701	0.6049729167282711	0.6140697891591637
MIC	XMSM	current_drawdown_252d	cross_market	16	15	1	-0.10200805725688765	0.1155564097552415	-0.4456521739130434	-0.4193235989612801	-0.31400929915422665	-0.2067284675980327	-0.1164993195777704	-0.0866873065015478	-0.02163396892238475	-0.008847358643961722	-0.004662923839487393	-0.0029476981180234798	-0.0025188916876575
MIC	XMSM	max_drawdown_252d	cross_market	16	15	1	-0.17685511271408075	0.10131080941868455	-0.4456521739130434	-0.4264055236532676	-0.3494189226141645	-0.29127870008373147	-0.21355922255202825	-0.1433021806853582	-0.1296702000461108	-0.10245454545454544	-0.07535245901639342	-0.03867704918032783	-0.0295081967213114
MIC	XMSM	median_shares_20d	within_mic_diagnostic_only	16	15	1	703481.0333333333	999093.8168326492	0.0	0.0	0.0	206.00000000000006	87433.25	306603.0	770632.25	1646895.5999999999	2358506.949999998	3473655.3899999987	3752442.5
MIC	XMSM	median_trades_20d	within_mic_diagnostic_only	16	15	1	820.5	1061.5842944795831	0.0	0.0	0.0	0.6000000000000002	79.0	318.0	1295.0	2276.6	2675.249999999999	3267.4499999999994	3415.5
